,sp,dw,sr,actual,multis
0,32798.612356829384,35332.0,41760.77090566079,33073,3802
1,32793.937517604405,35263.0,41705.216692224,32957,3674
2,32770.731487240075,35301.0,41684.96281629123,32760,3735
3,32757.14366331805,35153.0,41651.53786188477,33183,3698
4,32827.32268520484,35288.0,41702.58513601916,33105,3624
5,32686.037278866756,35575.0,41572.27041058566,32905,3697
6,32758.018610376337,35144.0,41623.41094414084,32940,3856
7,32749.513938641998,35301.0,41646.87389527684,33127,3631
8,32723.310122866973,35382.0,41662.70524857597,33100,3785
9,32778.10876369242,35450.0,41719.986753081605,33145,3815
10,32762.37227089046,35287.0,41675.68775847356,33632,3777
11,32752.781104203725,35394.0,41698.20234486725,33121,3767
12,32693.586982025612,35063.0,41638.87237881602,33409,3694
13,32824.93047257322,35207.0,41772.21015106561,33133,3742
14,32728.966234707153,35312.0,41652.668837078374,33246,3764
15,32778.68508868109,35436.0,41746.758411215975,33078,3768
16,32744.054429580276,35470.0,41655.66559828801,33076,3713
17,32777.85767512573,35193.0,41702.13345892797,32950,3734
18,32670.08772544545,35302.0,41554.39217852158,33231,3680
19,32789.27712117762,35535.0,41685.67005235205,33224,3673
20,32702.979887712587,34957.0,41617.219586121566,33065,3745
21,32718.177256955267,35264.0,41628.18500520961,33002,3676
22,32749.70504247445,35199.0,41673.19788771837,33022,3860
23,32794.72635200111,35260.0,41689.68506521919,33048,3776
24,32748.554907821257,34946.0,41711.52408551038,33192,3732
25,32793.5617023191,35159.0,41748.3998901696,32969,3818
26,32732.28755283262,35171.0,41644.2715177536,32971,3724
27,32738.453587474647,35591.0,41690.42173921917,33521,3728
28,32847.662974349456,35005.0,41797.865367014434,33158,3794
29,32816.825307557374,35322.0,41782.85497597443,33080,3708
30,32770.555487197315,35564.0,41690.45064183359,32910,3700
31,32776.973795979415,35224.0,41712.290202691154,33071,3698
32,32738.918959625742,35111.0,41661.010271692816,33008,3798
33,32662.042859842863,35058.0,41575.403788627176,32871,3719
34,32769.441220744346,35247.0,41668.07983007041,32904,3866
35,32714.015020871015,35280.0,41599.9551967104,33149,3799
36,32763.973685263823,35385.0,41706.03650476801,33237,3737
37,32795.228518399934,35266.0,41736.992950646374,33042,3802
38,32680.203314784056,35337.0,41593.79672572802,32929,3685
39,32697.565297961206,35053.0,41622.308308809625,33074,3754
40,32770.62833297244,35242.0,41674.13197814402,33316,3775
41,32764.861347295307,35131.0,41672.5756821504,33081,3728
42,32807.32910955049,35500.0,41699.474916326435,33213,3771
43,32748.906754248004,35198.0,41693.10787898879,33135,3719
44,32685.026143262636,34842.0,41583.96449184965,32913,3701
45,32748.53643408797,35123.0,41678.17521544319,33311,3797
46,32716.568714916106,35174.0,41615.46833131198,32974,3837
47,32778.9644543762,35214.0,41684.20090226881,32925,3810
48,32782.50584873889,35098.0,41717.9225040288,32849,3719
49,32734.77789286763,35536.0,41653.51542738237,33116,3814
50,32725.70524441012,35522.0,41621.91250485122,32902,3699
51,32843.430735224174,35198.0,41753.26866546239,33106,3800
52,32694.991905158153,35181.0,41636.44209520321,33119,3662
53,32776.248246488845,35535.0,41757.31817765759,32980,3845
54,32777.43724358934,35587.0,41678.00715807364,33200,3764
55,32744.3484752849,35049.0,41677.12775919358,33283,3826
56,32777.39772871624,35217.0,41727.2300084832,33022,3767
57,32842.982510054295,35204.0,41777.164319817595,33045,3764
58,32742.572794945365,35193.0,41668.78710954243,33236,3736
59,32723.85718136412,35224.0,41643.170440310365,32952,3748
60,32741.849516289203,35362.0,41660.671123583954,33105,3727
61,32792.176209950645,35264.0,41701.28386229757,33389,3762
62,32754.03076515904,35199.0,41662.50877771197,32884,3675
63,32729.8365332274,35100.0,41666.919509971165,32976,3781
64,32767.543566830453,35543.0,41685.84038336642,32898,3714
65,32820.96318913017,35467.0,41734.307327865616,33039,3838
66,32761.98933507961,35376.0,41689.262707641596,33208,3678
67,32735.348713461008,35248.0,41636.52559456317,33030,3656
68,32758.22896825523,35389.0,41664.912788956724,33080,3839
69,32749.480219615747,35146.0,41684.31075421445,33213,3737
70,32762.36402024315,35540.0,41715.68575525438,33129,3842
71,32785.45001642343,35082.0,41665.87458985924,32824,3816
72,32788.76572035726,35206.0,41660.21907105598,32916,3755
73,32737.808186440576,34899.0,41636.83715129279,33308,3805
74,32787.345963103005,35056.0,41745.060455961604,33301,3733
75,32694.145517736346,35233.0,41594.89733247359,33092,3752
76,32783.18004102552,35182.0,41691.07295748483,33143,3816
77,32783.81035983684,35325.0,41721.93894590403,32924,3640
78,32824.583611770664,35570.0,41755.64745208319,33069,3718
79,32847.93477503595,35664.0,41778.63716108157,32914,3887
80,32811.25229209952,35196.0,41780.16678009599,33293,3729
81,32778.780686123304,35218.0,41718.091552569604,33051,3806
82,32683.68787344078,35183.0,41585.17922502717,33334,3771
83,32773.25431323725,35399.0,41702.38821688327,33227,3700
84,32784.342278325974,35410.0,41712.799493049584,33132,3741
85,32732.588983463247,35217.0,41674.581974726425,33365,3685
86,32745.720816042285,35171.0,41685.66971582402,33139,3755
87,32831.63923411218,35206.0,41740.38991253761,33167,3762
88,32765.207665784954,35357.0,41642.74624871035,32724,3751
89,32788.108322501226,35359.0,41714.66691071035,33274,3725
90,32759.847782071945,35561.0,41732.83267041603,33251,3692
91,32793.35553301436,35157.0,41693.56297553274,33028,3820
92,32787.123299079125,35468.0,41691.49614099839,32633,3801
93,32728.97389123065,35180.0,41617.615765315175,33054,3734
94,32783.67289453632,35062.0,41698.880080300776,32981,3754
95,32724.909396733736,35216.0,41654.16610398718,33049,3698
96,32744.831613470335,35407.0,41701.85134425599,33186,3842
97,32726.504691522143,35274.0,41654.11031564161,33059,3779
98,32776.6045068273,35423.0,41693.957198352015,32880,3753
99,32735.657507388754,35034.0,41659.22728539836,33332,3793
